#This is a simple dump of all loaded liquids, in raw form, with their block names (in brackets) and their localized names, in the format of:

#FLUIDID 										  (FLUIDBLOCK)																	   = FLUIDLOCALIZEDNAME

#ANY AND ALL CHANGES TO THIS FILE WILL BE REPLACED WHEN THIS FILE IS REGENERATED NEXT TIME THE GAME IS RUN. THIS IS FOR INFORMATIONAL PURPOSES ONLY AND IS NOT A CONFIG FILE!

water                                             (minecraft:water)                                                                = Water
molten.kanthal                                    ([no block])                                                                     = Molten Kanthal
kanthal                                           ([no block])                                                                     = Liquid Kanthal
magnalium                                         ([no block])                                                                     = Liquid Magnalium
molten.nichrome                                   ([no block])                                                                     = Molten Nichrome
nichrome                                          ([no block])                                                                     = Liquid Nichrome
molten.niobium_nitride                            ([no block])                                                                     = Molten Niobium Nitride
niobium_nitride                                   ([no block])                                                                     = Liquid Niobium Nitride
molten.niobium_titanium                           ([no block])                                                                     = Molten Niobium-Titanium
niobium_titanium                                  ([no block])                                                                     = Liquid Niobium-Titanium
sterling_silver                                   ([no block])                                                                     = Liquid Sterling Silver
rose_gold                                         ([no block])                                                                     = Liquid Rose Gold
molten.black_bronze                               ([no block])                                                                     = Molten Black Bronze
black_bronze                                      ([no block])                                                                     = Liquid Black Bronze
bismuth_bronze                                    ([no block])                                                                     = Liquid Bismuth Bronze
molten.ruridit                                    ([no block])                                                                     = Molten Ruridit
ruridit                                           ([no block])                                                                     = Liquid Ruridit
soldering_alloy                                   ([no block])                                                                     = Liquid Soldering Alloy
stainless_steel                                   ([no block])                                                                     = Liquid Stainless Steel
tin_alloy                                         ([no block])                                                                     = Liquid Tin Alloy
molten.ultimet                                    ([no block])                                                                     = Molten Ultimet
ultimet                                           ([no block])                                                                     = Liquid Ultimet
molten.vanadium_gallium                           ([no block])                                                                     = Molten Vanadium-Gallium
vanadium_gallium                                  ([no block])                                                                     = Liquid Vanadium-Gallium
wrought_iron                                      ([no block])                                                                     = Liquid Wrought Iron
molten.yttrium_barium_cuprate                     ([no block])                                                                     = Molten Yttrium Barium Cuprate
yttrium_barium_cuprate                            ([no block])                                                                     = Liquid Yttrium Barium Cuprate
nether_quartz                                     ([no block])                                                                     = Liquid Nether Quartz
certus_quartz                                     ([no block])                                                                     = Liquid Certus Quartz
molten.osmiridium                                 ([no block])                                                                     = Molten Osmiridium
osmiridium                                        ([no block])                                                                     = Liquid Osmiridium
lithium_chloride                                  ([no block])                                                                     = Liquid Lithium Chloride
gallium_arsenide                                  ([no block])                                                                     = Liquid Gallium Arsenide
indium_gallium_phosphide                          ([no block])                                                                     = Liquid Indium Gallium Phosphide
nickel_zinc_ferrite                               ([no block])                                                                     = Liquid Nickel Zinc Ferrite
sodium_persulfate                                 ([no block])                                                                     = Sodium Persulfate
iron_magnetic                                     ([no block])                                                                     = Liquid Magnetic Iron
molten.tungsten_carbide                           ([no block])                                                                     = Molten Tungstencarbide
tungsten_carbide                                  ([no block])                                                                     = Liquid Tungstencarbide
carbon_dioxide                                    (immersiveintelligence:carbon_dioxide)                                           = Carbon Dioxide Gas
titanium_tetrachloride                            ([no block])                                                                     = Titanium Tetrachloride
nitrogen_dioxide                                  ([no block])                                                                     = Nitrogen Dioxide Gas
hydrogen_sulfide                                  ([no block])                                                                     = Hydrogen Sulfide Gas
nitric_acid                                       (immersiveintelligence:nitric_acid)                                              = Nitric Acid
sulfuric_acid                                     (immersiveintelligence:sulfuric_acid)                                            = Sulfuric Acid
phosphoric_acid                                   ([no block])                                                                     = Phosphoric Acid
sulfur_trioxide                                   ([no block])                                                                     = Sulfur Trioxide Gas
sulfur_dioxide                                    ([no block])                                                                     = Sulfur Dioxide Gas
carbon_monoxide                                   (immersiveintelligence:carbon_oxide)                                             = Carbon Monoxide Gas
hypochlorous_acid                                 ([no block])                                                                     = Hypochlorous Acid
ammonia                                           (immersiveintelligence:ammonia)                                                  = Ammonia Gas
hydrofluoric_acid                                 (immersiveintelligence:hydrofluoric_acid)                                        = Hydrofluoric Acid
nitric_oxide                                      ([no block])                                                                     = Nitric Oxide Gas
iron_iii_chloride                                 ([no block])                                                                     = Iron III Chloride
uranium_hexafluoride                              ([no block])                                                                     = Uranium Hexafluoride Gas
enriched_uranium_hexafluoride                     ([no block])                                                                     = Enriched Uranium Hexafluoride Gas
depleted_uranium_hexafluoride                     ([no block])                                                                     = Depleted Uranium Hexafluoride Gas
nitrous_oxide                                     ([no block])                                                                     = Nitrous Oxide Gas
ender_pearl                                       ([no block])                                                                     = Liquid Enderpearl
neodymium_magnetic                                ([no block])                                                                     = Liquid Magnetic Neodymium
hydrochloric_acid                                 ([no block])                                                                     = Hydrochloric Acid
distilled_water                                   ([no block])                                                                     = Distilled Water
sodium_potassium                                  ([no block])                                                                     = Sodium Potassium
samarium_magnetic                                 ([no block])                                                                     = Liquid Magnetic Samarium
manganese_phosphide                               ([no block])                                                                     = Liquid Manganese Phosphide
molten.magnesium_diboride                         ([no block])                                                                     = Molten Magnesium Diboride
magnesium_diboride                                ([no block])                                                                     = Liquid Magnesium Diboride
molten.mercury_barium_calcium_cuprate             ([no block])                                                                     = Molten Mercury Barium Calcium Cuprate
mercury_barium_calcium_cuprate                    ([no block])                                                                     = Liquid Mercury Barium Calcium Cuprate
molten.uranium_triplatinum                        ([no block])                                                                     = Molten Uranium Triplatinum
uranium_triplatinum                               ([no block])                                                                     = Liquid Uranium Triplatinum
molten.samarium_iron_arsenic_oxide                ([no block])                                                                     = Molten Samarium Iron Arsenic Oxide
samarium_iron_arsenic_oxide                       ([no block])                                                                     = Liquid Samarium Iron Arsenic Oxide
molten.indium_tin_barium_titanium_cuprate         ([no block])                                                                     = Molten Indium Tin Barium Titanium Cuprate
indium_tin_barium_titanium_cuprate                ([no block])                                                                     = Liquid Indium Tin Barium Titanium Cuprate
molten.uranium_rhodium_dinaquadide                ([no block])                                                                     = Molten Uranium Rhodium Dinaquadide
uranium_rhodium_dinaquadide                       ([no block])                                                                     = Liquid Uranium Rhodium Dinaquadide
molten.enriched_naquadah_trinium_europium_duranide([no block])                                                                     = Molten Enriched Naquadah Trinium Europium Duranide
enriched_naquadah_trinium_europium_duranide       ([no block])                                                                     = Liquid Enriched Naquadah Trinium Europium Duranide
molten.ruthenium_trinium_americium_neutronate     ([no block])                                                                     = Molten Ruthenium Trinium Americium Neutronate
ruthenium_trinium_americium_neutronate            ([no block])                                                                     = Liquid Ruthenium Trinium Americium Neutronate
rhodium_sulfate                                   ([no block])                                                                     = Rhodium Sulfate
fluoroantimonic_acid                              ([no block])                                                                     = Fluoroantimonic Acid
molten.rtm_alloy                                  ([no block])                                                                     = Molten RTM Alloy
rtm_alloy                                         ([no block])                                                                     = Liquid RTM Alloy
silicone_rubber                                   ([no block])                                                                     = Liquid Silicone Rubber
nitrobenzene                                      ([no block])                                                                     = Nitrobenzene Gas
styrene_butadiene_rubber                          ([no block])                                                                     = Liquid Styrene-Butadiene Rubber
polyvinyl_acetate                                 ([no block])                                                                     = Polyvinyl Acetate
reinforced_epoxy_resin                            ([no block])                                                                     = Liquid Fiber-Reinforced Epoxy Resin
polyvinyl_chloride                                ([no block])                                                                     = Liquid Polyvinyl Chloride (PVC)
polyphenylene_sulfide                             ([no block])                                                                     = Liquid Polyphenylene Sulfide
glyceryl_trinitrate                               ([no block])                                                                     = Glyceryl Trinitrate
polybenzimidazole                                 ([no block])                                                                     = Liquid Polybenzimidazole (PBI)
plastic                                           ([no block])                                                                     = Liquid Polyethylene (PE)
epoxy                                             ([no block])                                                                     = Liquid Epoxy Resin
polycaprolactam                                   ([no block])                                                                     = Liquid Polycaprolactam
polytetrafluoroethylene                           ([no block])                                                                     = Liquid Polytetrafluoroethylene (PTFE)
epichlorohydrin                                   ([no block])                                                                     = Epichlorohydrin
monochloramine                                    ([no block])                                                                     = Monochloramine Gas
chloroform                                        ([no block])                                                                     = Chloroform
cumene                                            ([no block])                                                                     = Cumene Gas
tetrafluoroethylene                               ([no block])                                                                     = Tetrafluoroethylene Gas
chloromethane                                     ([no block])                                                                     = Chloromethane Gas
allyl_chloride                                    ([no block])                                                                     = Allyl Chloride
isoprene                                          ([no block])                                                                     = Isoprene
propane                                           ([no block])                                                                     = Propane Gas
propene                                           ([no block])                                                                     = Propene Gas
ethane                                            ([no block])                                                                     = Ethane Gas
butene                                            ([no block])                                                                     = Butene Gas
butane                                            ([no block])                                                                     = Butane Gas
dissolved_calcium_acetate                         ([no block])                                                                     = Dissolved Calcium Acetate
vinyl_acetate                                     ([no block])                                                                     = Vinyl Acetate
methyl_acetate                                    ([no block])                                                                     = Methyl Acetate
ethenone                                          ([no block])                                                                     = Ethenone
tetranitromethane                                 ([no block])                                                                     = Tetranitromethane
dimethylamine                                     ([no block])                                                                     = Dimethylamine Gas
dimethylhydrazine                                 ([no block])                                                                     = 1,1-Dimethylhydrazine
dinitrogen_tetroxide                              ([no block])                                                                     = Dinitrogen Tetroxide Gas
dimethyldichlorosilane                            ([no block])                                                                     = Dimethyldichlorosilane Gas
styrene                                           ([no block])                                                                     = Styrene
butadiene                                         ([no block])                                                                     = Butadiene Gas
dichlorobenzene                                   ([no block])                                                                     = Dichlorobenzene
acetic_acid                                       ([no block])                                                                     = Acetic Acid
phenol                                            ([no block])                                                                     = Phenol
bisphenol_a                                       ([no block])                                                                     = Bisphenol A
vinyl_chloride                                    ([no block])                                                                     = Vinyl Chloride Gas
ethylene                                          ([no block])                                                                     = Ethylene Gas
benzene                                           ([no block])                                                                     = Benzene
acetone                                           ([no block])                                                                     = Acetone
glycerol                                          ([no block])                                                                     = Glycerol
methanol                                          (immersiveintelligence:methanol)                                                 = Methanol
toluene                                           ([no block])                                                                     = Toluene
diphenyl_isophthalate                             ([no block])                                                                     = Diphenyl Isophthalate
phthalic_acid                                     ([no block])                                                                     = Phthalic Acid
dimethylbenzene                                   ([no block])                                                                     = Dimethylbenzene
diaminobenzidine                                  ([no block])                                                                     = 3,3-Diaminobenzidine
dichlorobenzidine                                 ([no block])                                                                     = 3,3-Dichlorobenzidine
nitrochlorobenzene                                ([no block])                                                                     = 2-Nitrochlorobenzene
chlorobenzene                                     ([no block])                                                                     = Chlorobenzene
octane                                            ([no block])                                                                     = Octane
ethyl_tertbutyl_ether                             ([no block])                                                                     = Ethyl Tert-Butyl Ether
ethylbenzene                                      ([no block])                                                                     = Ethylbenzene
naphthalene                                       ([no block])                                                                     = Naphthalene
rubber                                            ([no block])                                                                     = Liquid Rubber
cyclohexane                                       ([no block])                                                                     = Cyclohexane
nitrosyl_chloride                                 ([no block])                                                                     = Nitrosyl Chloride Gas
butyraldehyde                                     ([no block])                                                                     = Butyraldehyde
polyvinyl_butyral                                 ([no block])                                                                     = Liquid Polyvinyl Butyral
polychlorinated_biphenyl                          ([no block])                                                                     = Polychlorinated Biphenyl (PCB)
wood_gas                                          ([no block])                                                                     = Wood Gas Gas
wood_vinegar                                      ([no block])                                                                     = Wood Vinegar
wood_tar                                          ([no block])                                                                     = Wood Tar
charcoal_byproducts                               ([no block])                                                                     = Charcoal Byproducts
bio_diesel                                        ([no block])                                                                     = Bio Diesel
fermented_biomass                                 ([no block])                                                                     = Fermented Biomass
rocket_fuel                                       (enderio:block_fluid_rocket_fuel)                                                = Rocket Fuel
glue                                              ([no block])                                                                     = Glue
lubricant                                         (immersivepetroleum:fluid_lubricant)                                             = Lubricant
mc_guffium_239                                    ([no block])                                                                     = McGuffium 239
indium_concentrate                                ([no block])                                                                     = Indium Concentrate
drilling_fluid                                    ([no block])                                                                     = Drilling Fluid
construction_foam                                 ([no block])                                                                     = Construction Foam
sulfuric_heavy_fuel                               ([no block])                                                                     = Sulfuric Heavy Fuel
heavy_fuel                                        ([no block])                                                                     = Heavy Fuel
lightly_hydrocracked_heavy_fuel                   ([no block])                                                                     = Lightly Hydro-Cracked Heavy Fuel
severely_hydrocracked_heavy_fuel                  ([no block])                                                                     = Severely Hydro-Cracked Heavy Fuel
lightly_steamcracked_heavy_fuel                   ([no block])                                                                     = Lightly Steam-Cracked Heavy Fuel
severely_steamcracked_heavy_fuel                  ([no block])                                                                     = Severely Steam-Cracked Heavy Fuel
sulfuric_light_fuel                               ([no block])                                                                     = Sulfuric Light Fuel
light_fuel                                        ([no block])                                                                     = Light Fuel
lightly_hydrocracked_light_fuel                   ([no block])                                                                     = Lightly Hydro-Cracked Light Fuel
severely_hydrocracked_light_fuel                  ([no block])                                                                     = Severely Hydro-Cracked Light Fuel
lightly_steamcracked_light_fuel                   ([no block])                                                                     = Lightly Steam-Cracked Light Fuel
severely_steamcracked_light_fuel                  ([no block])                                                                     = Severely Steam-Cracked Light Fuel
sulfuric_naphtha                                  ([no block])                                                                     = Sulfuric Naphtha
naphtha                                           ([no block])                                                                     = Naphtha
lightly_hydrocracked_naphtha                      ([no block])                                                                     = Lightly Hydro-Cracked Naphtha
severely_hydrocracked_naphtha                     ([no block])                                                                     = Severely Hydro-Cracked Naphtha
lightly_steamcracked_naphtha                      ([no block])                                                                     = Lightly Steam-Cracked Naphtha
severely_steamcracked_naphtha                     ([no block])                                                                     = Severely Steam-Cracked Naphtha
sulfuric_gas                                      ([no block])                                                                     = Sulfuric Gas Gas
refinery_gas                                      ([no block])                                                                     = Refinery Gas Gas
lightly_hydrocracked_gas                          ([no block])                                                                     = Lightly Hydro-Cracked Refinery Gas Gas
severely_hydrocracked_gas                         ([no block])                                                                     = Severely Hydro-Cracked Refinery Gas Gas
lightly_steamcracked_gas                          ([no block])                                                                     = Lightly Steam-Cracked Refinery Gas Gas
severely_steamcracked_gas                         ([no block])                                                                     = Severely Steam-Cracked Refinery Gas Gas
hydrocracked_ethane                               ([no block])                                                                     = Hydro-Cracked Ethane Gas
hydrocracked_ethylene                             ([no block])                                                                     = Hydro-Cracked Ethylene Gas
hydrocracked_propene                              ([no block])                                                                     = Hydro-Cracked Propene Gas
hydrocracked_propane                              ([no block])                                                                     = Hydro-Cracked Propane Gas
hydrocracked_butane                               ([no block])                                                                     = Hydro-Cracked Butane Gas
hydrocracked_butene                               ([no block])                                                                     = Hydro-Cracked Butene Gas
hydrocracked_butadiene                            ([no block])                                                                     = Hydro-Cracked Butadiene Gas
steamcracked_ethane                               ([no block])                                                                     = Steam-Cracked Ethane Gas
steamcracked_ethylene                             ([no block])                                                                     = Steam-Cracked Ethylene Gas
steamcracked_propene                              ([no block])                                                                     = Steam-Cracked Propene Gas
steamcracked_propane                              ([no block])                                                                     = Steam-Cracked Propane Gas
steamcracked_butane                               ([no block])                                                                     = Steam-Cracked Butane Gas
steamcracked_butene                               ([no block])                                                                     = Steam-Cracked Butene Gas
steamcracked_butadiene                            ([no block])                                                                     = Steam-Cracked Butadiene Gas
lpg                                               ([no block])                                                                     = LPG
raw_growth_medium                                 ([no block])                                                                     = Raw Growth Medium
sterilized_growth_medium                          ([no block])                                                                     = Sterilized Growth Medium
oil_heavy                                         (gregtech:fluid.oil_heavy)                                                       = Heavy Oil
oil_medium                                        (gregtech:fluid.oil_medium)                                                      = Raw Oil
oil_light                                         (gregtech:fluid.oil_light)                                                       = Light Oil
natural_gas                                       (gregtech:fluid.natural_gas)                                                     = Natural Gas Gas
bacteria                                          ([no block])                                                                     = Bacteria
bacterial_sludge                                  ([no block])                                                                     = Bacterial Sludge
enriched_bacterial_sludge                         ([no block])                                                                     = Enriched Bacterial Sludge
mutagen                                           (gendustry:mutagen)                                                              = Mutagen
gelatin_mixture                                   ([no block])                                                                     = Gelatin Mixture
raw_gasoline                                      ([no block])                                                                     = Raw Gasoline
gasoline                                          (immersivepetroleum:fluid_gasoline)                                              = Gasoline
gasoline_premium                                  ([no block])                                                                     = High Octane Gasoline
coal_gas                                          ([no block])                                                                     = Coal Gas Gas
coal_tar                                          ([no block])                                                                     = Coal Tar
nitro_fuel                                        ([no block])                                                                     = Cetane-Boosted Diesel
fish_oil                                          ([no block])                                                                     = Fish Oil
ruby_slurry                                       ([no block])                                                                     = Ruby Slurry
sapphire_slurry                                   ([no block])                                                                     = Sapphire Slurry
green_sapphire_slurry                             ([no block])                                                                     = Green Sapphire Slurry
dye_black                                         ([no block])                                                                     = Chemical Black Dye
dye_red                                           ([no block])                                                                     = Chemical Red Dye
dye_green                                         ([no block])                                                                     = Chemical Green Dye
dye_brown                                         ([no block])                                                                     = Chemical Brown Dye
dye_blue                                          ([no block])                                                                     = Chemical Blue Dye
dye_purple                                        ([no block])                                                                     = Chemical Purple Dye
dye_cyan                                          ([no block])                                                                     = Chemical Cyan Dye
dye_light_gray                                    ([no block])                                                                     = Chemical Light Gray Dye
dye_gray                                          ([no block])                                                                     = Chemical Gray Dye
dye_pink                                          ([no block])                                                                     = Chemical Pink Dye
dye_lime                                          ([no block])                                                                     = Chemical Lime Dye
dye_yellow                                        ([no block])                                                                     = Chemical Yellow Dye
dye_light_blue                                    ([no block])                                                                     = Chemical Light Blue Dye
dye_magenta                                       ([no block])                                                                     = Chemical Magenta Dye
dye_orange                                        ([no block])                                                                     = Chemical Orange Dye
dye_white                                         ([no block])                                                                     = Chemical White Dye
impure_enriched_naquadah_solution                 ([no block])                                                                     = Impure Enriched Naquadah Solution
enriched_naquadah_solution                        ([no block])                                                                     = Enriched Naquadah Solution
acidic_enriched_naquadah_solution                 ([no block])                                                                     = Acidic Enriched Naquadah Solution
enriched_naquadah_waste                           ([no block])                                                                     = Enriched Naquadah Waste
impure_naquadria_solution                         ([no block])                                                                     = Impure Naquadria Solution
naquadria_solution                                ([no block])                                                                     = Naquadria Solution
acidic_naquadria_solution                         ([no block])                                                                     = Acidic Naquadria Solution
naquadria_waste                                   ([no block])                                                                     = Naquadria Waste
uu_matter                                         ([no block])                                                                     = UU-Matter
pcb_coolant                                       ([no block])                                                                     = Dielectric PCB Coolant
salt_water                                        ([no block])                                                                     = Salt Water
blaze                                             ([no block])                                                                     = Liquid Blaze
black_steel                                       ([no block])                                                                     = Liquid Black Steel
damascus_steel                                    ([no block])                                                                     = Liquid Damascus Steel
molten.tungsten_steel                             ([no block])                                                                     = Molten Tungstensteel
tungsten_steel                                    ([no block])                                                                     = Liquid Tungstensteel
cobalt_brass                                      ([no block])                                                                     = Liquid Cobalt Brass
concrete                                          (immersiveengineering:fluidconcrete)                                             = Liquid Concrete
steel_magnetic                                    ([no block])                                                                     = Liquid Magnetic Steel
vanadium_steel                                    ([no block])                                                                     = Liquid Vanadiumsteel
potin                                             ([no block])                                                                     = Liquid Potin
borosilicate_glass                                ([no block])                                                                     = Liquid Borosilicate Glass
molten.naquadah_alloy                             ([no block])                                                                     = Molten Naquadah Alloy
naquadah_alloy                                    ([no block])                                                                     = Liquid Naquadah Alloy
sulfuric_nickel_solution                          ([no block])                                                                     = Sulfuric Nickel Solution
sulfuric_copper_solution                          ([no block])                                                                     = Sulfuric Copper Solution
lead_zinc_solution                                ([no block])                                                                     = Lead-Zinc Solution
nitration_mixture                                 ([no block])                                                                     = Nitration Mixture
diluted_sulfuric_acid                             ([no block])                                                                     = Diluted Sulfuric Acid
diluted_hydrochloric_acid                         ([no block])                                                                     = Diluted Hydrochloric Acid
air                                               ([no block])                                                                     = Air Gas
liquid_air                                        ([no block])                                                                     = Liquid Air
nether_air                                        ([no block])                                                                     = Nether Air Gas
liquid_nether_air                                 ([no block])                                                                     = Liquid Nether Air
ender_air                                         ([no block])                                                                     = Ender Air Gas
liquid_ender_air                                  ([no block])                                                                     = Liquid Ender Air
aqua_regia                                        ([no block])                                                                     = Aqua Regia
acidic_osmium_solution                            ([no block])                                                                     = Acidic Osmium Solution
molten.rhodium_plated_palladium                   ([no block])                                                                     = Molten Rhodium Plated Palladium
rhodium_plated_palladium                          ([no block])                                                                     = Liquid Rhodium Plated Palladium
ender_eye                                         ([no block])                                                                     = Liquid Endereye
red_steel                                         ([no block])                                                                     = Liquid Red Steel
blue_steel                                        ([no block])                                                                     = Liquid Blue Steel
molten.hssg                                       ([no block])                                                                     = Molten HSS-G
hssg                                              ([no block])                                                                     = Liquid HSS-G
red_alloy                                         ([no block])                                                                     = Liquid Red Alloy
molten.hsse                                       ([no block])                                                                     = Molten HSS-E
hsse                                              ([no block])                                                                     = Liquid HSS-E
molten.hsss                                       ([no block])                                                                     = Molten HSS-S
hsss                                              ([no block])                                                                     = Liquid HSS-S
blue_alloy                                        ([no block])                                                                     = Liquid Blue Alloy
molten.stellite_100                               ([no block])                                                                     = Molten Stellite-100
stellite_100                                      ([no block])                                                                     = Liquid Stellite-100
molten.watertight_steel                           ([no block])                                                                     = Molten Watertight Steel
watertight_steel                                  ([no block])                                                                     = Liquid Watertight Steel
